67180	219	1619064	6016	2007
67218	188	1307776	3560	2007
67447	116	1606940	6224	2007
67482	2530	1939805	9670	2007
68066	406	1633799	6544	2007
68224	561	1672216	6727	2007
68297	93	1502197	5264	2007
24037	192	1460863	4697	2007
24322	212	1750413	7913	2007
33039	72	1305991	3459	2007
33063	3119	1697987	7042	2007
33192	204	1439648	4701	2007
33529	336	1459210	5023	2007
33069	439	1797473	9400	2007
33243	209	1676415	6235	2007
33281	424	1357312	3907	2007
33318	400	1463524	4962	2007
33449	157	1423239	4254	2007
33522	272	1361246	3831	2007
33550	128	1870954	8045	2007
40088	199	1782848	7820	2007
40192	163	1417938	4356	2007
47001	210	1510928	5723	2007
47323	148	1426681	4572	2007
64024	605	1505932	5575	2007
64102	357	1624735	6344	2007
64122	767	1561449	5962	2007
64445	784	1470175	4911	2007
3185	226	1497275	5030	2007
3190	119	1437118	4701	2007
3310	336	1393027	4291	2007
15014	205	1489534	5091	2007
43157	124	1533372	5782	2007
63113	794	1587924	6352	2007
14118	1038	1720323	7094	2007
14366	125	1507204	5081	2007
50129	196	1563038	5707	2007
50502	95	1500426	5107	2007
61001	126	1624677	6620	2007
21054	240	1534044	5281	2007
21231	1311	1612487	7417	2007
58194	209	1519003	5319	2007
71076	288	1474688	5177	2007
71153	88	1343720	3788	2007
71270	215	1786216	9856	2007
71306	54	1320704	3702	2007
89024	250	1419253	4664	2007
89387	192	1671595	7206	2007
22278	350	1545545	5682	2007
29019	533	1688456	6745	2007
29039	189	1720778	7570	2007
29232	414	1495747	5435	2007
35115	127	1474996	4775	2007
35238	2068	1640984	6669	2007
35288	709	1505656	5359	2007
56121	272	1554077	5553	2007
56260	760	1555578	5857	2007
18033	424	1673628	7069	2007
18279	117	1462180	5175	2007
28085	456	1583832	5847	2007
28134	129	1626344	6493	2007
36044	231	1681525	7557	2007
37122	158	1453566	4746	2007
37261	1194	1551163	5606	2007
45232	318	1416951	4406	2007
45234	1069	1522011	5388	2007
41018	303	1416739	4474	2007
8105	227	1440928	4719	2007
8409	52	1858238	9131	2007
10387	385	1688883	7130	2007
52121	92	1409612	4633	2007
52448	90	2363591	12357	2007
51108	203	1620055	6106	2007
51230	170	1844125	8266	2007
51454	1158	1784909	8308	2007
"2A004"	251	1854859	8134	2007
"2B033"	124	1777691	7858	2007
25056	695	1563127	5965	2007
25388	116	1409034	4242	2007
39198	130	1469910	4209	2007
90010	196	1664552	6659	2007
9713	101	2061855	9638	2007
27229	301	1511812	5198	2007
27681	183	1462634	4730	2007
76217	194	1505978	5279	2007
76259	128	1481276	4860	2007
76351	704	1555692	5796	2007
76451	491	1813500	8032	2007
76540	841	1592372	6155	2007
76681	51	1292248	3324	2007
91027	143	1416341	4639	2007
91103	103	1365986	4131	2007
91114	342	1458094	4987	2007
91174	143	1360297	4024	2007
91201	230	1560540	6751	2007
91223	112	1737957	6889	2007
91228	76	1433606	4573	2007
91272	702	1467216	5091	2007
